İLÇE ADI,MAHALLE ADI,SES,SES SKORU
ADALAR,BURGAZADA,B,62.5
ADALAR,HEYBELIADA,B,62.5
ADALAR,KINALIADA,C,37.5
ADALAR,MADEN,B,62.5
ADALAR,NIZAM,B+,75.0
ARNAVUTKOY,ADNANMENDERES,E,12.5
ARNAVUTKOY,ANADOLU,E,12.5
ARNAVUTKOY,ARNAVUTKOYMERKEZ,D,25.0
ARNAVUTKOY,ATATURK,E,12.5
ARNAVUTKOY,BAKLALI,E,12.5
ARNAVUTKOY,BALABAN,E,12.5
ARNAVUTKOY,BOGAZKOYISTIKLAL,D,25.0
ARNAVUTKOY,BOLLUCA,D,25.0
ARNAVUTKOY,BOYALIK,E,12.5
ARNAVUTKOY,CILINGIR,E,12.5
ARNAVUTKOY,DELIKLIKAYA,E,12.5
ARNAVUTKOY,DURSUNKOY,E,12.5
ARNAVUTKOY,DURUSU,E,12.5
ARNAVUTKOY,FATIH,E,12.5
ARNAVUTKOY,HACIMASLI,E,12.5
ARNAVUTKOY,HADIMKOY,D,25.0
ARNAVUTKOY,HARACCI,E,12.5
ARNAVUTKOY,HASTANE,D,25.0
ARNAVUTKOY,HICRET,E,12.5
ARNAVUTKOY,IMRAHOR,E,12.5
ARNAVUTKOY,ISLAMBEY,E,12.5
ARNAVUTKOY,KARABURUN,E,12.5
ARNAVUTKOY,KARLIBAYIR,E,12.5
ARNAVUTKOY,MARESALFEVZICAKMAK,E,12.5
ARNAVUTKOY,MAVIGOL,C,37.5
ARNAVUTKOY,MEHMETAKIFERSOY,D,25.0
ARNAVUTKOY,MUSTAFAKEMALPASA,D,25.0
ARNAVUTKOY,NENEHATUN,E,12.5
ARNAVUTKOY,OMERLI,C,37.5
ARNAVUTKOY,SAZLIBOSNA,E,12.5
ARNAVUTKOY,TASOLUK,E,12.5
ARNAVUTKOY,TAYAKADIN,E,12.5
ARNAVUTKOY,TERKOS,E,12.5
ARNAVUTKOY,YASSIOREN,E,12.5
ARNAVUTKOY,YAVUZSELIM,D,25.0
ARNAVUTKOY,YENIKOY,E,12.5
