İLÇE,MAHALLE,HANE SAYISI
ADALAR,BURGAZADA,5
ADALAR,HEYBELIADA,22
ADALAR,KINALIADA,13
ADALAR,MADEN,27
ADALAR,NIZAM,20
ARNAVUTKOY,ADNAN MENDERES,127
ARNAVUTKOY,ANADOLU,1360
ARNAVUTKOY,ARNAVUTKOY MERKEZ,309
ARNAVUTKOY,ATATURK,420
ARNAVUTKOY,BAKLALI,8
ARNAVUTKOY,BALABAN,1
ARNAVUTKOY,BOGAZKOY ISTIKLAL,521
ARNAVUTKOY,BOLLUCA,180
ARNAVUTKOY,BOYALIK,6
ARNAVUTKOY,CILINGIR,7
ARNAVUTKOY,DELIKLIKAYA,171
ARNAVUTKOY,DURSUNKOY,3
ARNAVUTKOY,DURUSU,7
ARNAVUTKOY,FATIH,82
ARNAVUTKOY,HACIMASLI,6
ARNAVUTKOY,HADIMKOY,251
ARNAVUTKOY,HARACCI,244
ARNAVUTKOY,HASTANE,97
ARNAVUTKOY,HICRET,83
ARNAVUTKOY,IMRAHOR,320
ARNAVUTKOY,ISLAMBEY,614
ARNAVUTKOY,KARABURUN,9
ARNAVUTKOY,KARLIBAYIR,250
ARNAVUTKOY,MARESAL FEVZI CAKMAK,83
ARNAVUTKOY,MAVIGOL,201
ARNAVUTKOY,MEHMET AKIF ERSOY,94
ARNAVUTKOY,MUSTAFA KEMAL PASA,268
ARNAVUTKOY,NENEHATUN,225
ARNAVUTKOY,OMERLI,52
ARNAVUTKOY,SAZLIBOSNA,5
ARNAVUTKOY,TASOLUK,124
ARNAVUTKOY,TAYAKADIN,30
ARNAVUTKOY,TERKOS,6
ARNAVUTKOY,YASSIOREN,2
ARNAVUTKOY,YAVUZ SELIM,306
ARNAVUTKOY,YENIKOY,15
ARNAVUTKOY,YESILBAYIR,2
ARNAVUTKOY,YUNUS EMRE,912
ATASEHIR,ASIKVEYSEL,453
ATASEHIR,ATATURK,7
ATASEHIR,BARBAROS,366
ATASEHIR,ESATPASA,491
ATASEHIR,FERHATPASA,414
ATASEHIR,FETIH,54
ATASEHIR,ICERENKOY,488
ATASEHIR,INONU,215
ATASEHIR,KAYISDAGI,649
ATASEHIR,KUCUKBAKKALKOY,93
ATASEHIR,MEVLANA,223
ATASEHIR,MIMAR SINAN,296
ATASEHIR,MUSTAFA KEMAL,539
ATASEHIR,ORNEK,199
ATASEHIR,TEVFIKBEY,1
ATASEHIR,YENI CAMLICA,291
ATASEHIR,YENISAHRA,426
ATASEHIR,YENISEHIR,18
AVCILAR,ALTINSEHIR,1
AVCILAR,AMBARLI,263
AVCILAR,CIHANGIR,605
AVCILAR,DENIZKOSKLER,298
AVCILAR,FIRUZKOY,311
AVCILAR,GUMUSPALA,371
AVCILAR,MERKEZ,144
AVCILAR,MUSTAFA KEMALPASA,611
AVCILAR,TAHTAKALE,481
AVCILAR,UNIVERSITE,163
AVCILAR,YESILKENT,2392
BAGCILAR,100. YIL,1032
BAGCILAR,15 TEMMUZ,879
BAGCILAR,BAGLAR,112
BAGCILAR,BARBAROS,444
BAGCILAR,CINAR,715
BAGCILAR,DEMIRKAPI,1295
BAGCILAR,FATIH,1422
BAGCILAR,FEVZI CAKMAK,694
BAGCILAR,GOZTEPE,843
BAGCILAR,GUNESLI,562
BAGCILAR,GUNESTEPE,1
BAGCILAR,HURRIYET,262
BAGCILAR,INONU,466
BAGCILAR,ISMETPASA,1
BAGCILAR,KAZIM KARABEKIR,545
BAGCILAR,KEMALPASA,849
BAGCILAR,KIRAZLI,774
BAGCILAR,MAHMUTBEY,309
BAGCILAR,MERKEZ,292
BAGCILAR,MIMAR SINAN,1
BAGCILAR,NINE HATUN,1
BAGCILAR,SANCAKTEPE,249
BAGCILAR,YAVUZ SELIM,525
BAGCILAR,YENIGUN,536
BAGCILAR,YENIMAHALLE,688
BAGCILAR,YILDIZTEPE,994
BAHCELIEVLER,BAHCELIEVLER,71
BAHCELIEVLER,CUMHURIYET,817
BAHCELIEVLER,COBANCESME,490
BAHCELIEVLER,FEVZI CAKMAK,467
BAHCELIEVLER,HURRIYET,1050
BAHCELIEVLER,KOCASINAN MERKEZ,1119
BAHCELIEVLER,KUCUK PIYALE,1
BAHCELIEVLER,MIMAR SINAN,1
BAHCELIEVLER,SIYAVUSPASA,616
BAHCELIEVLER,SOGANLI,1096
BAHCELIEVLER,SIRINEVLER,681
BAHCELIEVLER,UNALAN,1
BAHCELIEVLER,YENIBOSNA MERKEZ,353
BAHCELIEVLER,ZAFER,2265
BAKIRKOY,ATAKOY 1. KISIM,2
BAKIRKOY,ATAKOY 2-5-6. KISIM,2
BAKIRKOY,ATAKOY 3-4-11. KISIM,2
BAKIRKOY,ATAKOY 7-8-9-10. KISIM,11
BAKIRKOY,BASINKOY,20
BAKIRKOY,CEVIZLIK,28
BAKIRKOY,KARTALTEPE,86
BAKIRKOY,OSMANIYE,128
BAKIRKOY,SAKIZAGACI,30
BAKIRKOY,SENLIKKOY,7
BAKIRKOY,YENIMAHALLE,42
BAKIRKOY,YESILKOY,42
BAKIRKOY,YESILYURT,1
