sehir,acik_adres,ilce,mahalle,nufus_yogunlugu,nufus,yuzolcumu,maliyet
İSTANBUL,"KOCATEPE MAH PAŞA CAD NO:3, FORUM ISTANBUL AVM GF 179 BAYRAMPAŞA İSTANBUL",BAYRAMPASA,KOCATEPE,12394.0,21448,1.7,300000
İSTANBUL,MAHMUTBEY MAHALLESİ TAŞOCAĞI YOLU CAD. A BLOK SIT. 212 AVM APT. NO: 5/Z34 BAĞCILAR/İSTANBUL,BAGCILAR,MAHMUTBEY,5225.0,24596,4.7,315000
İSTANBUL,"MASLAK MAHALLESI, AHİ EVRAN CAD NO:6/A 42 SHOPS & ARTS TICARET MERKEZI BAGIMSIZ BOLUM NO:192-193-194, 34398 SARIYER/İSTANBUL",SARIYER,MASLAK,1328.0,8091,6.1,819000
İSTANBUL,"MALTEPE MAHALLESI, YEDIKULE ÇIRPICI YOLU NO:8276, 6 BLOK 1. BODRUM KAT BAĞIMSIZ BÖLÜM NO:1, 34010 ZEYTINBURNU/İSTANBUL",ZEYTINBURNU,MALTEPE,807.0,2592,3.2,360000
İSTANBUL,ACARLAR MAH. ACARKENT 3.KISIM 9.CAD.DE ACARKENT COLLESIUM CLUB BEYKOZ/İSTANBUL,BEYKOZ,ACARLAR,1346.0,7319,5.4,363000
İSTANBUL,"ACIBADEM MAH. ACIBADEM CAD. NO:190 USKUDAR,ISTANBUL",USKUDAR,ACIBADEM,15154.0,24747,1.6,393000
İSTANBUL,ACIBADEM MAHALLESI ACIBADEM CADDESI KRISTAL APARTMANI NO:98/3 KADIKOY ISTANBUL,KADIKOY,ACIBADEM,20983.0,30549,1.5,567000
İSTANBUL,ALTUNIZADE MAH. TOPHANELIOGLU CAD. NO:13 USKUDAR,USKUDAR,ALTUNIZADE,7833.0,13886,1.8,393000
İSTANBUL,KUCUKBAKKALKOY MAH. VEDAT GUNYOL CAD. NO.36 ATASEHIR,ATASEHIR,KUCUKBAKKALKOY,12777.0,29032,2.3,486000
İSTANBUL,"TEKIN SOKAK NO:8, ACIBADEM MAH. KADIKÖY/İSTANBUL",KADIKOY,ACIBADEM,20983.0,30549,1.5,567000
İSTANBUL,BÜYÜKDERE CAD. NO: 40 ACIBADEM MASLAK HASTANESI METRO GIRIŞI MASLAK / SARIYER / İSTANBUL,SARIYER,MASLAK,1328.0,8091,6.1,819000
İSTANBUL,"KAYIŞDAĞI CADDESI NO:32 ACIBADEM ÜNIVERSITESI, İÇERENKÖY/ATAŞEHIR/İSTANBUL",ATASEHIR,ICERENKOY,21205.0,76344,3.6,486000
İSTANBUL,BARBAROS MH. ATASEHIR BULVARI GELINCIK SOKAK NO: 4 BULVAR 216 C08 NOLU MAĞAZA BATI ATAŞEHIR / İSTANBUL,ATASEHIR,BARBAROS,11065.0,32487,2.9,486000
İSTANBUL,"ACARLAR MAH. E-80 KARAYOLU, KAMER ÇIKMAZI SOK. ACR LOFT AVM NO: 2/28 BEYKOZ/İSTANBUL",BEYKOZ,ACARLAR,1346.0,7319,5.4,363000
İSTANBUL,SINANPAŞA MAHALLESI ŞAIR NEDIM CADDESI NO:5 AKARETLER BESIKTAS ISTANBUL,BESIKTAS,SINANPASA,14670.0,2534,0.17,777000
İSTANBUL,"AKASYA ACIBADEM, ACIBADEM MH. ÇEÇEN SOKAK, AKASYA EVLERI SITESI KENT ETABI, BAĞIMSIZ BÖLÜM NO 289 ÜSKÜDAR 34660 ISTANBUL",USKUDAR,ACIBADEM,15154.0,24747,1.6,393000
İSTANBUL,ACIBADEM MAH. ÇEÇEN SOK. AKASYA AVM APT. NO: 25 1.KAT / 427-428-429 - MERKEZ / ÜSKÜDAR / İSTANBUL,USKUDAR,ACIBADEM,15154.0,24747,1.6,393000
İSTANBUL,BARBAROS MAHALLESI ATAŞEHIR BULVARI GELINCIK SOKAK NO:4 BULVAR 216 MAĞAZA NO: A-Z01 ZEMIN KAT BATI ATAŞEHIR/İSTANBUL,ATASEHIR,BARBAROS,11065.0,32487,2.9,486000
İSTANBUL,TEŞVIKIYE MAH. AKKAVAK-ŞAKAYIK SOKAK NO: 24-63 TEŞVIKIYE ŞIŞLI,SISLI,TESVIKIYE,25431.0,11522,0.45,543000
İSTANBUL,SARAY MAH. DR.ADNAN BÜYÜKDENIZ CAD. NO:2 AKKOM OFISPARK KELIF PLAZA 3.BLOK ZEMIN KAT ÜMRANIYE/İSTANBUL,UMRANIYE,SARAY,1287.0,2307,1.8,372000
İSTANBUL,"NISPETIYE CADDESI AKMERKEZ AVM ( MAGAZA NO: 234 ) ULUS, ISTANBUL",BESIKTAS,KULTUR,6826.0,4925,0.72,777000
İSTANBUL,"ICERENKOY MAH. CAYIR CADDESI, NO:1 CITY'S KOZYATAGI AVM 2E5/B-2E6-AH02-AH03 NO'LU MAGAZA",ATASEHIR,ICERENKOY,21205.0,76344,3.6,486000
İSTANBUL,ETILER TEPECIK YOLU ALKENT SITESI HILLSIDE CITY CLUB BEŞIKTAŞ/İSTANBUL,BESIKTAS,ETILER,9854.0,12023,1.2,777000
İSTANBUL,KÜÇÜKBAKKALKOY MAHALLESI KAYISDAGI CADDESI ALLIANZ TOWER NO:1 KAT:20 ATAŞEHIR/ İSTANBUL,ATASEHIR,KUCUKBAKKALKOY,12777.0,29032,2.3,486000
İSTANBUL,ATATÜRK MAH. ATAŞEHIR BULVARI 3. CADDE NO: 7 ATAŞEHIR / İSTANBUL,ATASEHIR,ATATURK,11843.0,30063,2.5,486000
