il_ilce,yillik_nufus_artis_hizi
ISTANBUL,4.223844175479608
ADALAR,19.2371790435871
ARNAVUTKOY,45.20602108519232
ATASEHIR,-9.619710470748503
AVCILAR,-12.853525941088476
BAGCILAR,-5.769272681606407
BAHCELIEVLER,-18.255831471008207
BAKIRKOY,-9.107659059777909
BASAKSEHIR,22.899552216614133
BAYRAMPASA,1.563073975361618
BESIKTAS,-21.16827787844213
BEYKOZ,-2.900479403656974
BEYLIKDUZU,36.28950641864301
BEYOGLU,-32.238519462216274
BUYUKCEKMECE,29.36472407793924
CATALCA,17.409407207388707
CEKMEKOY,25.592732505208932
ESENLER,-3.7981664349637727
ESENYURT,6.20278777822737
EYUPSULTAN,13.217325419527256
FATIH,-39.30928335660993
GAZIOSMANPASA,5.868013206393658
GUNGOREN,-1.3821751128892448
KADIKOY,-4.48003789701916
KAGITHANE,3.0598831333678493
KARTAL,5.559280660489354
KUCUKCEKMECE,3.748873506485471
MALTEPE,5.650279236283181
PENDIK,11.44531467535171
SANCAKTEPE,31.479526611171018
SARIYER,1.387735045430371
SILIVRI,38.2469882733619
SULTANBEYLI,24.633639061268404
SULTANGAZI,-1.5636643757859066
SILE,43.18401405483653
SISLI,-27.696832309002446
TUZLA,15.471571655793776
UMRANIYE,7.704592242583335
USKUDAR,-1.7964527280784286
ZEYTINBURNU,-4.170829042033745
IZMIR,8.161078707226538
ALIAGA,14.064172798543163
