park_tipi,kapasite,longitude,latitude,acilis_saati,kapanis_saati,calisma_suresi,calisma_tipi
YOL ÜSTÜ,30,28.9879749441319,41.0488233569155,08:00:00,19:00:00,11,gunduz
YOL ÜSTÜ,50,28.9955656052444,41.0495232987717,08:00:00,19:00:00,11,gunduz
YOL ÜSTÜ,50,28.99497557817,41.0483895406422,08:00:00,19:00:00,11,gunduz
YOL ÜSTÜ,50,28.9959741661449,41.0533861999073,08:00:00,19:00:00,11,gunduz
YOL ÜSTÜ,40,28.9929548331432,41.0466296925246,08:00:00,23:59:00,15,gunduz
YOL ÜSTÜ,50,28.9944976003196,41.0478293701563,08:00:00,23:59:00,15,gunduz
YOL ÜSTÜ,0,28.9913023111126,41.0479375617614,09:00:00,21:00:00,12,gunduz
YOL ÜSTÜ,37,29.0066024007241,41.0655057224779,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,40,29.0115881307145,41.0688297324025,07:00:00,17:00:00,10,gunduz
YOL ÜSTÜ,20,29.0941080028222,41.025531237132,08:00:00,19:00:00,11,gunduz
YOL ÜSTÜ,27,29.0034525176203,41.043801637794,09:00:00,19:00:00,10,gunduz
YOL ÜSTÜ,27,29.0024029610158,41.0463832988957,09:00:00,19:00:00,10,gunduz
YOL ÜSTÜ,22,29.0238075739657,41.0525791949699,09:00:00,18:00:00,9,gunduz
YOL ÜSTÜ,500,29.0992011597313,41.0253098598845,08:00:00,19:00:00,11,gunduz
YOL ÜSTÜ,18,29.0164071577363,41.0754029841827,08:00:00,19:00:00,11,gunduz
YOL ÜSTÜ,23,29.0166958601018,41.0759943082714,08:00:00,19:00:00,11,gunduz
YOL ÜSTÜ,40,29.0844743268431,41.0249386157846,08:00:00,19:00:00,11,gunduz
YOL ÜSTÜ,25,29.0160325169563,41.0225429704273,08:00:00,19:00:00,11,gunduz
YOL ÜSTÜ,32,28.9702788851639,41.0241210457322,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,36,29.0405026416849,40.9920091951619,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,25,29.1253191232681,40.992844048405,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,60,28.9939445232645,41.03618849195,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,50,28.9535198446565,41.0122623682819,07:30:00,18:30:00,11,gunduz
00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00:00,23:59:00,23,tum_gun
YOL ÜSTÜ,25,29.0561602469287,41.1149636096173,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,13,29.0570374249283,41.1688570495518,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,40,29.0749115135856,40.9611866209756,09:00:00,20:00:00,11,gunduz
YOL ÜSTÜ,40,29.0773943554361,40.9635441572401,09:00:00,20:00:00,11,gunduz
YOL ÜSTÜ,100,28.9754037237857,41.0162288353242,07:00:00,22:00:00,15,gunduz
YOL ÜSTÜ,30,29.1862580075555,40.8890847976314,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,30,29.1883651661649,40.8894515025413,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,50,29.1830874212264,40.8872001154773,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,25,29.2352065289303,40.8794321103302,09:00:00,19:00:00,10,gunduz
YOL ÜSTÜ,16,29.0169571733483,41.0759876415465,08:00:00,19:00:00,11,gunduz
YOL ÜSTÜ,30,28.975060751981,41.0322512079754,07:00:00,23:59:00,16,gunduz
YOL ÜSTÜ,80,28.9742909689498,41.0039627453483,08:00:00,02:00:00,18,tum_gun
YOL ÜSTÜ,50,28.9727752057011,41.007088735229,07:00:00,18:00:00,11,gunduz
YOL ÜSTÜ,35,28.9566929102633,41.00702917811,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,40,28.966008182442,41.012915690585,07:30:00,18:00:00,11,gunduz
YOL ÜSTÜ,30,28.9659907739697,41.0133649365751,07:30:00,18:00:00,11,gunduz
YOL ÜSTÜ,20,29.1210544109344,40.9927468719206,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,30,28.948851266096,41.0181810129679,08:00:00,19:00:00,11,gunduz
YOL ÜSTÜ,30,28.9476636434165,41.0193617448972,08:00:00,19:00:00,11,gunduz
YOL ÜSTÜ,30,28.9443834258777,41.022743248552,08:00:00,19:00:00,11,gunduz
AÇIK OTOPARK,80,28.9327923970388,40.9989448342937,12:00:00,22:00:00,10,gunduz
AÇIK OTOPARK,100,29.0429124017311,40.9973787421223,08:00:00,22:00:00,14,gunduz
YOL ÜSTÜ,25,28.9470128094271,41.0194602703946,08:00:00,19:00:00,11,gunduz
YOL ÜSTÜ,45,28.8796835621833,40.9787060704662,08:00:00,19:00:00,11,gunduz
YOL ÜSTÜ,34,28.9038273488434,40.9929976511758,09:00:00,19:00:00,10,gunduz
YOL ÜSTÜ,50,28.914427982918,41.0321010288981,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,50,28.9143639643179,41.0319549000146,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,50,28.8870346708831,41.008730460792,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,50,28.889037512361,41.0055722093448,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,25,29.0092500399386,41.0642034983461,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,27,29.0655460030057,41.0800099578934,09:00:00,20:00:00,11,gunduz
YOL ÜSTÜ,50,28.8245124883387,40.9614558311587,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,50,28.8237786132743,40.9603655442851,08:00:00,18:00:00,10,gunduz
YOL ÜSTÜ,50,28.8242237924226,40.9610007498372,08:00:00,18:00:00,10,gunduz
AÇIK OTOPARK,135,28.7908059257131,40.9764200927432,08:00:00,19:00:00,11,gunduz
AÇIK OTOPARK,100,29.1884276668087,40.8872483354898,08:00:00,20:00:00,12,gunduz
YOL ÜSTÜ,30,28.2435637532274,41.0736699215229,09:00:00,23:00:00,14,gunduz
YOL ÜSTÜ,50,28.2434785971315,41.0720742205141,09:00:00,23:00:00,14,gunduz
00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00:00,23:59:00,23,tum_gun
00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00:00,23:59:00,23,tum_gun
00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00:00,23:59:00,23,tum_gun
00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00:00,23:59:00,23,tum_gun
YOL ÜSTÜ,70,28.2441313939182,41.0758050632096,09:00:00,21:00:00,12,gunduz
00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00:00,23:59:00,23,tum_gun
YOL ÜSTÜ,40,28.887420096957,41.0128304641926,08:00:00,18:00:00,10,gunduz
TAKSİ PARK,5,29.0391826472463,41.0213193943726,11:00:00,19:00:00,8,gunduz
00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00:00,23:59:00,23,tum_gun
00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00:00,23:59:00,23,tum_gun
00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00:00,23:59:00,23,tum_gun
00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00:00,23:59:00,23,tum_gun
00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00:00,23:59:00,23,tum_gun
00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00:00,23:59:00,23,tum_gun
00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00:00,23:59:00,23,tum_gun
00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00:00,23:59:00,23,tum_gun
00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00:00,23:59:00,23,tum_gun
