Date,Omerli,Darlik,Elmali,Terkos,Alibey,Buyukcekmece,Sazlidere,Kazandere,Pabucdere,Istrancalar
01-01-2017,81.07,72.94,0.52,44.45,56.18,33.13,34.07,28.84,13.07,40.24
01-02-2017,82.16,74.11,0.51,44.93,58.38,33.63,34.64,28.57,12.99,34.68
01-03-2017,82.63,74.59,0.51,45.09,59.26,33.63,34.87,28.17,12.93,29.18
01-04-2017,82.79,75.07,0.52,45.25,59.79,33.8,35.1,27.97,12.84,23.32
01-05-2017,82.94,75.49,0.52,45.57,60.42,33.8,35.39,27.97,13.1,26.85
01-06-2017,84.75,77.73,0.52,47.65,61.5,34.48,35.68,29.85,14.65,70.22
01-07-2017,85.3,79.22,0.52,53.86,61.41,38.68,35.91,31.41,17.17,90.5
01-08-2017,85.62,80.12,0.52,55.53,63.68,38.35,36.49,33.34,17.63,93.61
01-09-2017,85.78,80.55,0.52,56.36,64.59,39.02,36.96,33.63,17.63,89.49
01-10-2017,86.02,80.97,0.52,56.7,65.24,39.35,37.31,35.4,17.63,82.47
01-11-2017,86.02,81.35,0.52,57.37,65.89,39.71,37.83,35.72,18.05,80.01
01-12-2017,86.49,81.61,0.52,58.72,68.31,41.13,39.07,41.04,18.44,79.51
13-01-2017,89.13,82.94,0.52,61.96,75.22,46.82,42.66,42.06,18.79,86.78
14-01-2017,89.81,83.79,0.52,62.99,77.39,48.24,43.8,42.41,19.01,86.12
15-01-2017,91.5,85.02,0.52,66.8,83.23,51.79,46.84,48.78,21.36,94.25
16-01-2017,93.96,88.32,0.52,71.92,88.71,57.12,49.95,54.54,23.38,93.96
17-01-2017,96.62,91.7,0.52,75.15,93.06,60.97,51.76,59.49,24.41,99.99
18-01-2017,97.8,91.89,0.52,78.97,95.74,63.54,53.66,73.13,28.1,99.99
19-01-2017,98.73,94.33,0.52,84.32,97.92,66.29,55.62,86.63,32.72,99.99
20-01-2017,99.24,96.25,0.52,89.4,96.72,69.04,56.81,97.64,35.47,99.99
21-01-2017,99.07,98.37,0.52,93.79,94.02,72.16,58.36,100.0,36.45,99.99
